Date,Adj Close,Volume,Day_Perc_Change,Name
9/5/2019,8116.830078,2096300000,1.754447817,NASDAQ
9/6/2019,8103.069824,1876380000,-0.169527437,NASDAQ
9/9/2019,8087.439941,2172240000,-0.192888416,NASDAQ
9/10/2019,8084.160156,2362860000,-0.040554057,NASDAQ
9/11/2019,8169.680176,2310440000,1.057871422,NASDAQ
9/12/2019,8194.469727,2159260000,0.303433555,NASDAQ
9/13/2019,8176.709961,1976770000,-0.216728679,NASDAQ
9/16/2019,8153.540039,1869220000,-0.283364851,NASDAQ
9/17/2019,8186.02002,1850340000,0.398354345,NASDAQ
9/18/2019,8177.390137,2034880000,-0.105422207,NASDAQ
9/19/2019,8182.879883,1792700000,0.067133228,NASDAQ
9/20/2019,8117.669922,3359380000,-0.796907225,NASDAQ
9/23/2019,8112.459961,1780160000,-0.064180498,NASDAQ
9/24/2019,7993.629883,2302600000,-1.46478477,NASDAQ
9/25/2019,8077.379883,2015270000,1.047709254,NASDAQ
9/26/2019,8030.660156,1832800000,-0.578402003,NASDAQ
9/27/2019,7939.629883,2037720000,-1.133534121,NASDAQ
9/30/2019,7999.339844,1805820000,0.752049678,NASDAQ
10/1/2019,7908.680176,2243650000,-1.133339373,NASDAQ
10/2/2019,7785.25,2495160000,-1.56069247,NASDAQ
10/3/2019,7872.259766,2141490000,1.117623275,NASDAQ
10/4/2019,7982.470215,1736890000,1.399984913,NASDAQ
10/7/2019,7956.290039,1739450000,-0.327970857,NASDAQ
10/8/2019,7823.779785,1933580000,-1.665477922,NASDAQ
10/9/2019,7903.740234,1553900000,1.022018145,NASDAQ
10/10/2019,7950.779785,1778740000,0.59515558,NASDAQ
10/11/2019,8057.040039,2176080000,1.336475879,NASDAQ
10/14/2019,8048.649902,1419730000,-0.104134235,NASDAQ
10/15/2019,8148.709961,1836650000,1.2431906,NASDAQ
10/16/2019,8124.180176,1886720000,-0.301026606,NASDAQ
10/17/2019,8156.850098,1861570000,0.402131923,NASDAQ
10/18/2019,8089.540039,2012930000,-0.825196714,NASDAQ
10/21/2019,8162.990234,1752860000,0.907965034,NASDAQ
10/22/2019,8104.299805,1847200000,-0.718981982,NASDAQ
10/23/2019,8119.790039,1805030000,0.191135994,NASDAQ
10/24/2019,8185.799805,1882490000,0.812949173,NASDAQ
10/25/2019,8243.120117,1894740000,0.700240824,NASDAQ
10/28/2019,8325.990234,1956280000,1.005324632,NASDAQ
10/29/2019,8276.849609,1834530000,-0.590207574,NASDAQ
10/30/2019,8303.980469,1928420000,0.32779211,NASDAQ
10/31/2019,8292.360352,2258270000,-0.139934301,NASDAQ
11/1/2019,8386.400391,2057310000,1.134056348,NASDAQ
11/4/2019,8433.200195,2149910000,0.558043998,NASDAQ
11/5/2019,8434.679688,2316710000,0.017543672,NASDAQ
11/6/2019,8410.629883,2332650000,-0.285130033,NASDAQ
11/7/2019,8434.519531,2393950000,0.284041128,NASDAQ
11/8/2019,8475.30957,1974190000,0.483608329,NASDAQ
11/11/2019,8464.280273,1715470000,-0.130134444,NASDAQ
11/12/2019,8486.089844,1987820000,0.257665983,NASDAQ
11/13/2019,8482.099609,2173320000,-0.04702089,NASDAQ
11/14/2019,8479.019531,2106550000,-0.036312684,NASDAQ
11/15/2019,8540.830078,2188210000,0.728982246,NASDAQ
11/18/2019,8549.94043,2047240000,0.106668227,NASDAQ
11/19/2019,8570.660156,2075000000,0.242337665,NASDAQ
11/20/2019,8526.730469,2596030000,-0.512558965,NASDAQ
11/21/2019,8506.209961,2056230000,-0.24066092,NASDAQ
11/22/2019,8519.879883,1877090000,0.160705203,NASDAQ
11/25/2019,8632.490234,2256070000,1.321736369,NASDAQ
11/26/2019,8647.929688,2434570000,0.178852841,NASDAQ
11/27/2019,8705.179688,1744580000,0.662008158,NASDAQ
11/29/2019,8665.469727,1099090000,-0.456164748,NASDAQ
12/2/2019,8567.990234,2225940000,-1.124918742,NASDAQ
12/3/2019,8520.639648,2308600000,-0.552645191,NASDAQ
12/4/2019,8566.669922,2150680000,0.540220874,NASDAQ
12/5/2019,8570.700195,2123380000,0.04704597,NASDAQ
12/6/2019,8656.530273,2053530000,1.001436009,NASDAQ
12/9/2019,8621.830078,2088520000,-0.4008557,NASDAQ
12/10/2019,8616.179688,2053390000,-0.065535854,NASDAQ
12/11/2019,8654.049805,1937850000,0.439523297,NASDAQ
12/12/2019,8717.320313,2388270000,0.731108665,NASDAQ
12/13/2019,8734.879883,2188720000,0.201433117,NASDAQ
12/16/2019,8814.230469,2346290000,0.908433625,NASDAQ
12/17/2019,8823.360352,2374120000,0.103581169,NASDAQ
12/18/2019,8827.740234,2727870000,0.049639614,NASDAQ
12/19/2019,8887.219727,2415950000,0.673779375,NASDAQ
12/20/2019,8924.959961,3825460000,0.424657375,NASDAQ
12/23/2019,8945.650391,2025450000,0.231826586,NASDAQ
12/24/2019,8952.879883,1014520000,0.080815723,NASDAQ
12/26/2019,9022.389648,1634920000,0.776395595,NASDAQ
12/27/2019,9006.620117,1832200000,-0.174782199,NASDAQ
12/30/2019,8945.990234,2042420000,-0.673170204,NASDAQ
12/31/2019,8972.599609,2182800000,0.297444713,NASDAQ
1/2/2020,9092.19043,2848370000,1.33284473,NASDAQ
1/3/2020,9020.769531,2567400000,-0.785519172,NASDAQ
1/6/2020,9071.469727,2788120000,0.56203848,NASDAQ
1/7/2020,9068.580078,2352850000,-0.031854254,NASDAQ
1/8/2020,9129.240234,2464090000,0.668904674,NASDAQ
1/9/2020,9203.429688,2534700000,0.812657484,NASDAQ
1/10/2020,9178.860352,2378990000,-0.26695848,NASDAQ
1/13/2020,9273.929688,2530270000,1.035742264,NASDAQ
1/14/2020,9251.330078,2542170000,-0.243689685,NASDAQ
1/15/2020,9258.700195,2435650000,0.079665485,NASDAQ
1/16/2020,9357.129883,2301400000,1.06310482,NASDAQ
1/17/2020,9388.94043,2522670000,0.339960516,NASDAQ
1/21/2020,9370.80957,2684540000,-0.193108691,NASDAQ
1/22/2020,9383.769531,2449390000,0.138301402,NASDAQ
1/23/2020,9402.480469,2460050000,0.19939682,NASDAQ
1/24/2020,9314.910156,2611710000,-0.931353309,NASDAQ
1/27/2020,9139.30957,2583330000,-1.885155982,NASDAQ
